github.com/AlDanial/cloc v 2.02  T=1.55 s (410.8 files/s, 72054.5 lines/s)
----------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                       blank        comment           code
.\apps\client\src\hooks\useMahjongDeclaration.ts                                                              17              0            163
.\crates\mahjong_core\tests\call_priority.rs                                                                  34             28            163
.\crates\mahjong_server\src\network\room\history_manager.rs                                                   36             76            163
.\apps\client\e2e\frontend-backend-communication.spec.ts                                                      27              3            162
.\apps\client\src\components\game\phases\playing-phase\usePlayingPhaseEventHandlers.ts                         9              1            162
.\apps\client\src\hooks\useMeldActions.ts                                                                     24              0            162
.\apps\client\e2e\courtesy-pass.spec.ts                                                                       42             51            161
.\apps\client\src\components\game\MeldDisplay.test.tsx                                                        40              9            161
.\apps\client\src\features\game\RollDice.integration.test.tsx                                                 48             53            161
.\apps\client\src\hooks\useSoundEffects.test.ts                                                               47              6            161
.\crates\mahjong_core\src\hand.rs                                                                             38            168            161
.\README.md                                                                                                   72              0            160
.\crates\mahjong_core\src\deck.rs                                                                             34             72            160
.\apps\client\src\components\game\Tile.tsx                                                                    36             33            158
.\crates\mahjong_ai\src\context.rs                                                                            36            121            157
.\apps\client\e2e\support\wsHarness.ts                                                                        24              1            156
.\crates\mahjong_core\src\player.rs                                                                           29             82            156
.\apps\client\src\components\game\CallWindowPanel.tsx                                                         16             26            155
.\apps\client\src\components\game\TurnIndicator.test.tsx                                                      36              3            155
.\apps\client\src\test\mocks\README.md                                                                        68              0            155
.\apps\client\src\lib\game-events\types.ts                                                                    10             57            153
.\apps\client\src\components\game\VotingPanel.tsx                                                             16             20            152
.\apps\client\src\components\game\phases\playing-phase\usePlayingPhaseActions.test.ts                         14              0            152
.\apps\client\src\components\game\phases\playing-phase\usePlayingPhaseActions.ts                              22              0            152
.\crates\mahjong_core\examples\validate_hand.rs                                                               20              9            152
.\crates\mahjong_server\src\network\rate_limit.rs                                                             27             33            152
.\crates\mahjong_server\src\network\websocket\responses.rs                                                    18             68            152
.\docs\competitive-analysis\myjongg-ui-analysis.md                                                            41              0            152
.\apps\client\src\components\game\CallWindowPanel.test.tsx                                                    49              6            151
.\crates\mahjong_core\tests\history_test.rs                                                                   25             11            150
.\apps\client\src\components\game\CallResolutionOverlay.tsx                                                   19             24            148
.\apps\client\src\components\game\HouseRulesPanel.tsx                                                         16             54            148
.\crates\mahjong_ai\src\trait.rs                                                                              21             68            146
.\crates\mahjong_server\tests\smart_undo_tests.rs                                                             27             38            146
.\apps\client\src\components\game\CharlestonTracker.tsx                                                       13             15            145
.\apps\client\src\stores\roomStore.ts                                                                         28             35            145
.\docs\implementation\frontend\tests\test-scenarios\roll-dice-break-wall.md                                   57              0            145
.\apps\client\src\lib\game-events\publicEventHandlers.ts                                                       7              0            144
.\crates\mahjong_core\benches\validation_bench.rs                                                             21             17            144
.\apps\client\src\hooks\useCharlestonState.ts                                                                 20             77            143
.\apps\client\src\hooks\useAnimationSettings.test.ts                                                          31              0            142
.\apps\client\src\features\game\JumpToHistoricalMove.integration.test.tsx                                     12              0            140
.\crates\mahjong_server\src\network\websocket\command.rs                                                      20             46            140
.\apps\client\src\components\game\OpponentRack.tsx                                                            12             15            139
.\crates\mahjong_core\src\table\bot.rs                                                                        19             25            139
.\apps\client\src\components\ui\select.tsx                                                                    12              0            138
.\crates\mahjong_core\src\flow\charleston\tests.rs                                                            27              8            137
.\apps\client\src\components\game\ScoringScreen.tsx                                                           12             29            135
.\crates\mahjong_core\examples\bot_game.rs                                                                    21             17            135
.\crates\mahjong_core\src\flow\tests\playing.rs                                                               20              1            135
.\apps\client\e2e\protocol-robustness.spec.ts                                                                 24              0            134
.\apps\client\src\features\game\ResumeFromHistory.integration.test.tsx                                         9              0            134
.\crates\mahjong_server\tests\analysis_integration.rs                                                         40             22            134
.\docs\implementation\frontend\tests\test-scenarios\README.md                                                 52              0            132
.\scripts\check-mojibake.js                                                                                   14              0            132
.\apps\client\src\features\game\turn-discard.integration.test.tsx                                             23             30            131
.\crates\mahjong_core\src\flow\charleston\state.rs                                                            25            179            128
.\crates\mahjong_server\src\db_simple.rs                                                                      21             23            127
.\nmjl_mahjongg_2025_card.md                                                                                  48              0            127
.\apps\client\src\components\ui\dialog.tsx                                                                    16              0            126
.\apps\client\src\lib\game-events\publicEventHandlers.endgame.ts                                              10              0            126
.\crates\mahjong_server\src\network\websocket\mod.rs                                                          16             79            125
.\apps\client\src\components\game\phases\playing-phase\usePlayingPhaseEventHandlers.test.ts                   16              0            124
.\apps\client\src\components\game\DiceOverlay.tsx                                                             14             23            123
.\apps\client\src\hooks\useAnimationSettings.ts                                                               26             83            123
.\scripts\card_tools\convert_card.py                                                                          36             12            123
.\apps\client\src\components\game\HistoryPanel.test.tsx                                                       18              0            122
.\apps\client\src\components\game\JokerExchangeDialog.tsx                                                     15             23            121
.\crates\mahjong_core\src\meld.rs                                                                             18             99            121
.\tree_scanner.py                                                                                             30             28            121
.\apps\client\src\hooks\useGameAnimations.ts                                                                  22             58            120
.\crates\mahjong_ai\examples\bot_tournament.rs                                                                22             10            120
.\crates\mahjong_server\tests\network_rate_limits.rs                                                          20              0            119
.\apps\client\src\test\README.md                                                                              45              0            118
.\apps\client\src\types\bindings\generated\PublicEvent.ts                                                      1            301            117
.\crates\mahjong_server\src\db\players.rs                                                                     15             10            117
.\apps\client\src\components\game\useGameBoardBridge.ts                                                       12              1            116
.\crates\mahjong_server\src\network\heartbeat.rs                                                              29             53            116
.\scripts\card_tools\validate_unified_cards.py                                                                33              8            116
.\apps\client\src\hooks\useCallWindowState.ts                                                                 20             75            115
.\apps\client\src\components\game\WindCompass.test.tsx                                                        21             20            114
.\crates\mahjong_core\src\table\handlers\setup.rs                                                             26             44            114
.\crates\mahjong_server\src\db\mod.rs                                                                         22             29            114
.\crates\mahjong_server\src\network\room_store.rs                                                             30             33            114
.\crates\mahjong_server\src\network\analysis.rs                                                               16             28            113
.\apps\client\src\components\game\CharlestonTracker.test.tsx                                                  33             10            112
.\apps\client\src\components\game\UndoVotePanel.tsx                                                            8             25            112
.\docs\planning\blind-pass-redesign-stories.md                                                                55              0            112
.\apps\client\src\lib\game-logic\meldUpgradeDetector.test.ts                                                  32              7            110
.\crates\mahjong_server\src\network\room\session_manager.rs                                                   31             59            110
.\crates\mahjong_ai\TESTING_PRUNING.md                                                                        56              0            109
.\crates\mahjong_core\src\event\helpers.rs                                                                     9             43            109
.\apps\client\src\components\game\MahjongValidationDialog.tsx                                                 10             25            108
.\apps\client\src\components\ui\sheet.tsx                                                                     11              0            107
.\apps\client\src\components\game\CourtesyNegotiationStatus.test.tsx                                          23              5            106
.\apps\client\src\components\game\UpgradeConfirmationDialog.tsx                                               13             17            106
.\apps\client\src\features\game\HintFlow.integration.test.tsx                                                 14              0            106
.\apps\client\e2e\multiplayer-start.spec.ts                                                                   19              0            105
.\apps\client\src\components\game\AnimationSettings.tsx                                                        9             21            105
.\crates\mahjong_server\src\authorization.rs                                                                  19             82            104
.\scripts\add-tile-numbers.js                                                                                 31             31            104
.\crates\mahjong_core\DESIGN.md                                                                               33              0            103
.\apps\client\src\components\game\VoteResultOverlay.test.tsx                                                  34             10            102
.\apps\client\src\test\fixtures\fixtures.test.ts                                                              26              6            102
.\apps\client\src\components\game\useGameBoardBridge.test.ts                                                  16              0            101
.\crates\mahjong_server\src\network\room\analysis_manager.rs                                                  24             57            100
.\Agents.md                                                                                                   38              0             99
.\apps\client\src\hooks\useTileSelection.ts                                                                   35             92             99
.\apps\client\src\components\game\DeadHandOverlay.test.tsx                                                    19              9             98
.\apps\client\src\components\game\DeadHandOverlay.tsx                                                         10             18             98
.\apps\client\src\features\game\DisconnectReconnect.integration.test.tsx                                      24              2             98
